Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 2      | 11590127.78 | 0.99    
25          | 0      | 3      | 10925687.96 | 0.94    
25          | 0      | 4      | 11255624.45 | 1.03    
25          | 0      | 5      | 12150108.84 | 1.08    
25          | 0.01   | 1      | 13009407.02 | 1.07    
25          | 0.01   | 2      | 14430199.46 | 1.11    
25          | 0.01   | 3      | 15911795.25 | 1.10    
25          | 0.01   | 4      | 14883419.80 | 0.94    
25          | 0.01   | 5      | 13566229.47 | 0.91    
25          | 0.1    | 1      | 12711151.62 | 0.94    
25          | 0.1    | 2      | 13713977.09 | 1.08    
25          | 0.1    | 3      | 14567234.54 | 1.06    
25          | 0.1    | 4      | 13823391.82 | 0.95    
25          | 0.1    | 5      | 13114907.71 | 0.95    
25          | 1      | 1      | 12426364.07 | 0.95    
25          | 1      | 2      | 13361485.49 | 1.08    
25          | 1      | 3      | 14080721.78 | 1.05    
25          | 1      | 4      | 13656054.01 | 0.97    
25          | 1      | 5      | 13094880.99 | 0.96    
50          | 0      | 1      | 11721288.52 | 0.90    
50          | 0      | 2      | 11590127.78 | 0.99    
50          | 0      | 3      | 10925687.96 | 0.94    
50          | 0      | 4      | 11255624.45 | 1.03    
50          | 0      | 5      | 12150108.84 | 1.08    
50          | 0.01   | 1      | 13009407.02 | 1.07    
50          | 0.01   | 2      | 14430199.46 | 1.11    
50          | 0.01   | 3      | 15911795.25 | 1.10    
50          | 0.01   | 4      | 14883419.80 | 0.94    
50          | 0.01   | 5      | 13566229.47 | 0.91    
50          | 0.1    | 1      | 12711151.62 | 0.94    
50          | 0.1    | 2      | 13713977.09 | 1.08    
50          | 0.1    | 3      | 14567234.54 | 1.06    
50          | 0.1    | 4      | 13823391.82 | 0.95    
50          | 0.1    | 5      | 13114907.71 | 0.95    
50          | 1      | 1      | 12426364.07 | 0.95    
50          | 1      | 2      | 13361485.49 | 1.08    
50          | 1      | 3      | 14080721.78 | 1.05    
50          | 1      | 4      | 13656054.01 | 0.97    
50          | 1      | 5      | 13094880.99 | 0.96    
100         | 0      | 1      | 11721288.52 | 0.90    
100         | 0      | 2      | 11590127.78 | 0.99    
100         | 0      | 3      | 10925687.96 | 0.94    
100         | 0      | 4      | 11255624.45 | 1.03    
100         | 0      | 5      | 12150108.84 | 1.08    
100         | 0.01   | 1      | 13009407.02 | 1.07    
100         | 0.01   | 2      | 14430199.46 | 1.11    
100         | 0.01   | 3      | 15911795.25 | 1.10    
100         | 0.01   | 4      | 14883419.80 | 0.94    
100         | 0.01   | 5      | 13566229.47 | 0.91    
100         | 0.1    | 1      | 12711151.62 | 0.94    
100         | 0.1    | 2      | 13713977.09 | 1.08    
100         | 0.1    | 3      | 14567234.54 | 1.06    
100         | 0.1    | 4      | 13823391.82 | 0.95    
100         | 0.1    | 5      | 13114907.71 | 0.95    
