Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 21520715.67 | 1.64    
1      | 0      | 50          | 21520715.67 | 1.00    
1      | 0      | 100         | 21520715.67 | 1.00    
1      | 0.01   | 25          | 21849818.77 | 1.02    
1      | 0.01   | 50          | 21849818.77 | 1.00    
1      | 0.01   | 100         | 21849818.77 | 1.00    
1      | 0.1    | 25          | 21759143.92 | 1.00    
1      | 0.1    | 50          | 21759143.92 | 1.00    
1      | 0.1    | 100         | 21759143.92 | 1.00    
1      | 1      | 25          | 21702212.12 | 1.00    
1      | 1      | 50          | 21702212.12 | 1.00    
1      | 1      | 100         | 21702212.12 | 1.00    
2      | 0      | 25          | 21441003.41 | 0.99    
2      | 0      | 50          | 21441003.41 | 1.00    
2      | 0      | 100         | 21441003.41 | 1.00    
2      | 0.01   | 25          | 25794243.90 | 1.20    
2      | 0.01   | 50          | 25794243.90 | 1.00    
2      | 0.01   | 100         | 25794243.90 | 1.00    
2      | 0.1    | 25          | 24631042.50 | 0.95    
2      | 0.1    | 50          | 24631042.50 | 1.00    
2      | 0.1    | 100         | 24631042.50 | 1.00    
2      | 1      | 25          | 24165759.57 | 0.98    
2      | 1      | 50          | 24165759.57 | 1.00    
2      | 1      | 100         | 24165759.57 | 1.00    
3      | 0      | 25          | 20444229.04 | 0.85    
3      | 0      | 50          | 20444229.04 | 1.00    
3      | 0      | 100         | 20444229.04 | 1.00    
3      | 0.01   | 25          | 29350011.75 | 1.44    
3      | 0.01   | 50          | 29350011.75 | 1.00    
3      | 0.01   | 100         | 29350011.75 | 1.00    
3      | 0.1    | 25          | 26811695.75 | 0.91    
3      | 0.1    | 50          | 26811695.75 | 1.00    
3      | 0.1    | 100         | 26811695.75 | 1.00    
3      | 1      | 25          | 25971690.25 | 0.97    
