Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
100         | 3      | 0.1    | 26551.10 | 1.08    
100         | 4      | 0.1    | 25428.04 | 0.96    
100         | 5      | 0.1    | 24878.70 | 0.98    
100         | 1      | 1      | 21880.33 | 0.88    
100         | 2      | 1      | 23471.19 | 1.07    
100         | 3      | 1      | 25183.74 | 1.07    
100         | 4      | 1      | 24899.40 | 0.99    
100         | 5      | 1      | 24759.81 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_spanish.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 14468129.08 | 584.34  
25          | 2      | 0      | 13030559.68 | 0.90    
25          | 3      | 0      | 12123547.40 | 0.93    
25          | 4      | 0      | 12019959.27 | 0.99    
25          | 5      | 0      | 12933972.08 | 1.08    
25          | 1      | 0.01   | 14779221.36 | 1.14    
25          | 2      | 0.01   | 14158619.02 | 0.96    
25          | 3      | 0.01   | 13856025.98 | 0.98    
25          | 4      | 0.01   | 14021717.19 | 1.01    
25          | 5      | 0.01   | 15025453.98 | 1.07    
25          | 1      | 0.1    | 14706162.07 | 0.98    
25          | 2      | 0.1    | 13842985.74 | 0.94    
25          | 3      | 0.1    | 13436949.67 | 0.97    
25          | 4      | 0.1    | 13781072.16 | 1.03    
25          | 5      | 0.1    | 15132513.03 | 1.10    
25          | 1      | 1      | 14643488.15 | 0.97    
25          | 2      | 1      | 13766083.56 | 0.94    
25          | 3      | 1      | 13816608.34 | 1.00    
25          | 4      | 1      | 15117568.31 | 1.09    
25          | 5      | 1      | 17273343.90 | 1.14    
50          | 1      | 0      | 14468129.08 | 0.84    
